id,area,atclNo,atclNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclFetrDesc,tagList,bildNm
135,5884,2422713434,논현대우아이빌힐타운,월세,5/7,12000,70,"1억 2,000",87,45.26,남향,"자주식 무료주차, 분리형오피스텔","['25년이내', '융자금없는', '역세권', '세대분리']",1동
136,6695,2422718172,논현대우아이빌힐타운,월세,5/7,1000,100,"1,000",78,40.55,남향,"자주식 무료주차, 분리형오피스텔 ,저렴한 월세","['25년이내', '융자금없는', '역세권', '세대분리']",1동
137,6825,2426251274,아티스톤,전세,3/12,60000,0,6억,99,36.71,남향,"선릉도보7분, 대치동학원가, 2룸1거실, 적극추천합니다","['2년이내', '역세권', '화장실한개']",1동
138,6830,2426251776,아티스톤,월세,3/12,3000,300,"3,000",99,36.71,남향,"사업자용주소전입불가, 대치동학원가, 1.5룸, 적극추천합니다","['2년이내', '역세권', '화장실한개']",1동
139,6831,2426246909,아티스톤,전세,3/12,60000,0,6억,99,36.71,남향,직매물. 귀한2룸. 신축2년차. 자주식주차. 풀옵션. 대치동학원가,"['2년이내', '역세권', '방두개']",1동
140,6853,2426201084,대치트레비스타,월세,9/11,1000,92,"1,000",32,18.45,북향,전입신고. 전망좋음. 신축급. 편리한 수납장,"['4년이내', '융자금없는', '역세권']",102동
141,6883,2425848772,아티스톤,월세,3/12,3000,300,"3,000",99,36.71,남향,보안좋고 쾌적하며 아주밝은 집 오피스텔2룸 주차양호,"['2년이내', '역세권', '화장실한개', '방두개']",1동
142,6885,2425895445,대치대우아이빌멤버스4차,매매,3/12,45000,0,"4억 5,000",85,47.1,동향,급매 선릉역역세권 투룸매매 올수리 깨끗 갭투자 공실 자유입주,"['25년이내', '올수리', '역세권', '급매']",101동
143,6891,2425796333,아티스톤,매매,5/12,46000,0,"4억 6,000",63,23.34,서향,"사업자용, 선릉역도보6분, 대치동학원가중심, 추천합니다.","['2년이내', '역세권', '화장실한개']",1동
144,6930,2425532100,아티스톤,매매,4/12,57000,0,"5억 7,000",76,28.08,동향,투자가능. 전8.5 신축 풀옵션 오피스텔 1.5룸 매매,"['2년이내', '역세권', '화장실한개']",1동
145,6935,2425487537,아티스톤,월세,4/12,2000,200,"2,000",76,28.22,서향,공동환영 사택숙소OK 1룸1거실 즉시입주OK 세금계산서OK,"['2년이내', '융자금없는', '역세권']",1동
146,6954,2425227044,선릉역대우아이빌5차,전세,3/13,22000,0,"2억 2,000",53,30.1,남향,"전입불가,즉시입주가능,풀옵션,깨끗한집","['25년이내', '역세권', '소형평수']",1동
147,6984,2424904355,로프트아파트먼트대치,매매,3/9,90000,0,9억,109,47.96,남향,"한티역인근3룸2욕실,풀옵션,채광 좋음,풍부한 임대수요","['10년이내', '화장실두개', '방세개']",1동
